symbol | tradetime           | close    | high     | low      | open     | volume
GOOG | 2016-10-12 19:26:00 |   783.21 |   783.81 |   783.21 |   783.57 |   5474
GOOG | 2016-10-12 19:28:00 |   783.26 |   783.72 |   783.26 |   783.44 |   5400
GOOG | 2016-10-12 19:30:00 |  782.595 |   783.41 |  782.595 |   783.07 |   1750
GOOG | 2016-10-12 19:32:00 |   782.43 |   782.91 |   782.43 |   782.43 |   1487
GOOG | 2016-10-12 19:34:00 |   782.29 |   782.62 |   782.29 |   782.43 |   2200
GOOG | 2016-10-12 19:36:00 |   782.07 |   782.66 |   782.07 |   782.07 |   5430
GOOG | 2016-10-12 19:38:00 |   781.66 |   782.51 |   781.66 |   782.51 |   3291
GOOG | 2016-10-12 19:40:00 |   782.25 |   782.53 |   782.25 |   782.49 |   2000
GOOG | 2016-10-12 19:42:00 |   782.27 |   783.24 |   782.27 | 782.3626 |   2933
GOOG | 2016-10-12 19:44:00 |      782 |  782.945 |      782 |    782.3 |   5273
GOOG | 2016-10-12 19:46:00 |   782.29 |    782.7 |   782.29 |   782.68 |   9198
GOOG | 2016-10-12 19:48:00 |   782.51 |   783.06 |   782.51 |   782.89 |   2256
GOOG | 2016-10-12 19:50:00 |   782.81 |    783.9 |   782.81 |   783.32 |   7705
GOOG | 2016-10-12 19:52:00 |   782.95 |   783.56 |   782.95 |   783.17 |   5532
GOOG | 2016-10-12 19:54:00 | 783.06 | 783.36 | 783.06 | 783.32 |   4702
GOOG | 2016-10-12 19:56:00 | 783.38 | 783.89 | 783.38 | 783.67 |   9000
GOOG | 2016-10-12 19:58:00 | 782.71 |  783.7 | 782.71 | 782.84 |   8791
GOOG | 2016-10-12 20:00:00 | 782.65 |  783.4 | 782.65 | 783.07 | 103933
